37	ZINC00000883	TVLQBBHUNDMTEC-UHFFFAOYSA-N	O=C1Nc2c(C1(C)C)cc1c(c2)nc([nH]1)c1ccncc1
38	ZINC00000909	SOYCMDCMZDHQFP-UHFFFAOYSA-M	[O-]C(=O)Cc1cccc(c1N)C(=O)c1ccccc1
39	ZINC00000915	HFQMYSHATTXRTC-JTQLQIEISA-O	Cc1cc(ccc1C[C@@H]([NH3+])C)N(C)C
40	ZINC00000920	ALYNCZNDIQEVRV-UHFFFAOYSA-M	[O-]C(=O)c1ccc(cc1)N
41	ZINC00000922	WUBBRNOQWQTFEX-UHFFFAOYSA-M	Nc1ccc(c(c1)O)C(=O)[O-]
42	ZINC00000931	QWGDMFLQWFTERH-UHFFFAOYSA-O	Clc1ccc2c(c1)C(=Nc1c(O2)cccc1)N1CC[NH2+]CC1
43	ZINC00000934	IPZFPROOBOUEIG-UHFFFAOYSA-N	CCCc1ncc(c(n1)N)C[n+]1ccccc1C
44	ZINC00000941	YBBLVLTVTVSKRW-UHFFFAOYSA-N	N
45	ZINC00000999	QCIARNIKNKKHFH-UHFFFAOYSA-N	ClCCn1cnc2c1c(=O)n(C)c(=O)n2C
46	ZINC00001021	SESFRYSPDFLNCH-UHFFFAOYSA-N	O=C(c1ccccc1)OCc1ccccc1
47	ZINC00001083	SWUARLUWKZWEBQ-VQHVLOKHSA-N	O=C(/C=C/c1ccc(c(c1)O)O)OCCc1ccccc1
48	ZINC00001084	RYYVLZVUVIJVGH-UHFFFAOYSA-N	Cn1cnc2c1c(=O)n(C)c(=O)n2C
49	ZINC00001087	VSJKWCGYPAHWDS-HXUWFJFHSA-N	CC[C@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4cc3Cn1c2=O
50	ZINC00001099	UCAGLBKTLXCODC-UHFFFAOYSA-M	[O-]C(=O)c1ccc(cc1)S(=O)(=O)N
51	ZINC00001131	WDFKMLRRRCGAKS-UHFFFAOYSA-N	Clc1cc(Cl)c2c(c1O)nccc2
52	ZINC00001137	WSPOMRSOLSGNFJ-AUWJEWJLSA-O	C[NH+](CC/C=C\1/c2ccccc2Sc2c1cc(Cl)cc2)C
53	ZINC00001148	ODQWQRRAPPTVAG-BOPFTXTBSA-O	C[NH+](CC/C=C/1\c2ccccc2OCc2c1cccc2)C
54	ZINC00001160	YAORIDZYZDUZCM-UHFFFAOYSA-O	C1CNC(=[NH+]1)COc1ccccc1C1CC1
55	ZINC00001187	TXCGAZHTZHNUAI-UHFFFAOYSA-M	[O-]C(=O)C(Oc1ccc(cc1)Cl)(C)C
56	ZINC00001201	UMUUNOOFZSQLAH-UHFFFAOYSA-M	Clc1ccc(cc1)C1=C([O-])c2c(C1=O)cccc2
57	ZINC00001219	ZZIALNLLNHEQPJ-UHFFFAOYSA-N	Oc1ccc2c(c1)oc(=O)c1c2oc2c1ccc(c2)O
58	ZINC00001233	QMNFFXRFOJIOKZ-UHFFFAOYSA-O	NC1=NC(=[NH+]C(N1c1ccc(cc1)Cl)(C)C)N
